FID IID phenotype
1094 1094_0 -0.211440290521445
1094 1094_1 -0.0404942232324956
1095 1095_0 -1.72210651315101
1095 1095_1 -2.46086363285823
1096 1096_0 -2.58329190044941
1096 1096_1 -1.93081588513158
1097 1097_0 -2.34113741972622
1097 1097_1 -2.00895454427981
1098 1098_0 -1.32122450276651
1098 1098_1 -2.00583953055835
1099 1099_0 -1.44249791202169
1099 1099_1 -1.45742083208122
11 11_0 -1.87068171737281
11 11_1 -0.971546325122195
110 110_0 -0.0944251718757851
110 110_1 0.982825519271084
1100 1100_0 -0.590505871092217
1100 1100_1 -1.10123112823805
1101 1101_0 0.213150224800583
1101 1101_1 -0.545723478070317
1102 1102_0 -0.415347236405461
1102 1102_1 -1.40764732846947
1103 1103_0 -1.21519779771179
1103 1103_1 -2.13366518741061
1104 1104_0 -0.706522263924155
1104 1104_1 -2.31342153994615
1105 1105_0 -0.641460678410119
1105 1105_1 -1.32654422117766
1106 1106_0 -0.279769274535138
1106 1106_1 0.489905798546892
1107 1107_0 -0.498027279854807
1107 1107_1 0.0850535053113735
1108 1108_0 0.819993101588021
1108 1108_1 0.51550473294753
1109 1109_0 -0.959423920538118
1109 1109_1 -1.87007289511872
111 111_0 -1.59111957465226
111 111_1 -1.18905650893759
1110 1110_0 0.126648939817158
1110 1110_1 -1.62683268896486
1111 1111_0 -0.502732665814148
1111 1111_1 0.239598085786527
1112 1112_0 -1.410439298837
1112 1112_1 -2.26174219138686
1113 1113_0 -1.56508030012706
1113 1113_1 -1.24834215317344
1114 1114_0 -1.47687116778995
1114 1114_1 -1.38787567257268
1115 1115_0 -1.66786303106784
1115 1115_1 -1.02359603301778
1116 1116_0 0.373045542331222
1116 1116_1 -1.97981791438275
1117 1117_0 -0.758461435034255
1117 1117_1 -0.509580959048427
1118 1118_0 -0.0225570034551931
1118 1118_1 -0.11623159945342
1119 1119_0 -2.36763326309148
1119 1119_1 -1.55646489514401
112 112_0 -1.16936329869385
112 112_1 0.0863514249367059
1120 1120_0 -1.26213616081084
1120 1120_1 -1.39989186878643
1121 1121_0 -0.710141940710215
1121 1121_1 -1.27787745743076
1122 1122_0 -0.335036291501925
1122 1122_1 -0.780370146672547
1123 1123_0 -1.57573373437615
1123 1123_1 -2.10537380520128
1124 1124_0 0.0720022964824656
1124 1124_1 -0.0789881735979509
1125 1125_0 -0.720363603423206
1125 1125_1 0.0949651499475433
1126 1126_0 -2.85310128387542
1126 1126_1 -2.95632548004253
1127 1127_0 -0.659897884293001
1127 1127_1 -0.470848966238218
1128 1128_0 -2.41576179053529
1128 1128_1 -2.61894053576575
1129 1129_0 1.90769355872615
1129 1129_1 0.55342170785345
113 113_0 0.547245789309651
113 113_1 1.03821376051476
1130 1130_0 -3.08234232721618
1130 1130_1 -2.90688103942669
1131 1131_0 -2.09003225994826
1131 1131_1 -2.16397508754753
1132 1132_0 0.186745304210325
1132 1132_1 -0.363755284659447
1133 1133_0 -1.28261638222818
1133 1133_1 -3.49750191235796
1134 1134_0 -1.19968040378122
1134 1134_1 -0.98088714326383
1135 1135_0 -2.60748789042407
1135 1135_1 -1.92388586345954
1136 1136_0 -0.319923124659204
1136 1136_1 -0.210125513287243
1137 1137_0 -1.55895593517037
1137 1137_1 -0.970238913576648
1138 1138_0 0.528057530372018
1138 1138_1 1.30717534794677
1139 1139_0 -1.88717333950032
1139 1139_1 -2.70905701739876
114 114_0 -1.37063551259969
114 114_1 -1.61321522444878
1140 1140_0 0.824754378896691
1140 1140_1 -0.499445630048717
1141 1141_0 -0.480156394426149
1141 1141_1 -0.905514740929156
1142 1142_0 -1.30823454213107
1142 1142_1 -0.162354935410509
1143 1143_0 0.475682756843507
1143 1143_1 -0.146099660233954
1144 1144_0 -1.23935685636018
1144 1144_1 -0.591274371311897
1145 1145_0 -1.31508493725169
1145 1145_1 -1.15670585752318
1146 1146_0 0.213545200818082
1146 1146_1 -0.186396928812033
1147 1147_0 0.0787508396530413
1147 1147_1 -0.357303701975405
1148 1148_0 -1.22201274238145
1148 1148_1 -1.46539468201358
1149 1149_0 0.356522575421878
1149 1149_1 -1.39980760504892
115 115_0 -0.432789333077001
115 115_1 0.0914124045368154
1150 1150_0 -2.43396364079466
1150 1150_1 -1.08921573268011
1151 1151_0 -0.462024366317528
1151 1151_1 -0.856158097510195
1152 1152_0 -1.69414717829154
1152 1152_1 -2.09228641063719
1153 1153_0 -1.0333996279302
1153 1153_1 -0.398217439933819
1154 1154_0 1.38249992332461
1154 1154_1 1.37424940390323
1155 1155_0 -0.746333346018442
1155 1155_1 -1.21800981145485
1156 1156_0 -1.50000184165748
1156 1156_1 -0.937638182095581
1157 1157_0 -1.33133645525577
1157 1157_1 -1.22712083592244
1158 1158_0 -2.30005442544153
1158 1158_1 -1.70959563657806
1159 1159_0 -0.196891298014449
1159 1159_1 -0.442064771486824
116 116_0 -0.651793249018866
116 116_1 -0.322463816292317
1160 1160_0 0.192010017168792
1160 1160_1 -0.77102911047492
1161 1161_0 -0.60663801479804
1161 1161_1 -1.43113885781658
1162 1162_0 -0.893603641952035
1162 1162_1 -1.65309398213183
1163 1163_0 -2.68506284333153
1163 1163_1 -2.56993231667498
1164 1164_0 -0.59494896766192
1164 1164_1 0.448785352952954
1165 1165_0 -0.266458995871908
1165 1165_1 0.243561494441834
1166 1166_0 -1.76404102704937
1166 1166_1 -2.67238927238024
1167 1167_0 -3.27513897419
1167 1167_1 -3.15022861977573
1168 1168_0 -1.9808505694174
1168 1168_1 -0.993630632993887
1169 1169_0 -2.73524308859328
1169 1169_1 -2.56494115330292
117 117_0 -2.09989263581152
117 117_1 -2.21018036767943
1170 1170_0 -2.445493209655
1170 1170_1 -1.30406299413703
1171 1171_0 -3.23202145287626
1171 1171_1 -2.29781887695773
1172 1172_0 -0.971431627043721
1172 1172_1 -1.69756004675357
1173 1173_0 -0.307513005456938
1173 1173_1 -0.505471734628083
1174 1174_0 -2.65216916723313
1174 1174_1 -1.04755681130009
1175 1175_0 -1.11390377154603
1175 1175_1 -0.523366427199602
1176 1176_0 -0.256053023097072
1176 1176_1 0.652540361977673
1177 1177_0 -1.23267897974514
1177 1177_1 -1.60130481588484
1178 1178_0 -1.55083735793872
1178 1178_1 -0.930953908234447
1179 1179_0 -0.644191557027752
1179 1179_1 -1.37573609376237
118 118_0 -0.646144310345783
118 118_1 -0.805959101531914
1180 1180_0 -0.462891041361575
1180 1180_1 -0.811550219450913
1181 1181_0 -0.423841171149193
1181 1181_1 -1.52501473008347
1182 1182_0 0.237349219268427
1182 1182_1 0.797781241804867
1183 1183_0 -0.719231506091715
1183 1183_1 -1.00357932429328
1184 1184_0 0.691801336891409
1184 1184_1 -0.13084515792659
1185 1185_0 -0.0198681699832028
1185 1185_1 0.243897200493245
1186 1186_0 -2.20437060190244
1186 1186_1 -2.33065669930039
1187 1187_0 -1.08950312865301
1187 1187_1 -2.16130511312476
1188 1188_0 -0.941764699480814
1188 1188_1 -1.61849967033409
1189 1189_0 -1.08032037979969
1189 1189_1 -1.50636946199943
119 119_0 -1.59695235482558
119 119_1 -0.859153577994187
1190 1190_0 -3.06857175165448
1190 1190_1 -2.30474191921688
1191 1191_0 -1.36704791974151
1191 1191_1 -0.202363121771479
1192 1192_0 -0.662988033620554
1192 1192_1 -0.887759772871074
1193 1193_0 -1.21645691840873
1193 1193_1 -0.351123047779298
1194 1194_0 -0.582724316567784
1194 1194_1 -0.430493887701812
1195 1195_0 -3.14238067097431
1195 1195_1 -2.85800772089589
1196 1196_0 -1.35714495114507
1196 1196_1 -0.72662245248209
1197 1197_0 -1.30732819426849
1197 1197_1 -0.385557517729661
1198 1198_0 -0.650646686723506
1198 1198_1 -0.0915581302227304
1199 1199_0 -0.145773834870134
1199 1199_1 -0.657449602985789
12 12_0 0.103693577884155
12 12_1 -0.707895333378937
120 120_0 -2.44107884344702
120 120_1 -1.44610321550216
1200 1200_0 -0.345441308275306
1200 1200_1 -0.228017410668096
1201 1201_0 -1.09597772391015
1201 1201_1 -1.18030828261055
1202 1202_0 -0.524889363992924
1202 1202_1 -0.997756295902892
1203 1203_0 -1.06409034093671
1203 1203_1 -0.311976265111675
1204 1204_0 -2.44844614558812
1204 1204_1 -1.51117844833867
1205 1205_0 0.335519127164421
1205 1205_1 0.689175150001536
1206 1206_0 -2.01072873105472
1206 1206_1 -1.70729446278023
1207 1207_0 -2.43832826874924
1207 1207_1 -3.99371261409843
1208 1208_0 -2.20676596227848
1208 1208_1 -1.25827822392228
1209 1209_0 -1.43883155909616
1209 1209_1 -1.75315842624487
121 121_0 -1.42580635281899
121 121_1 -1.62361332839288
1210 1210_0 -0.786143284758909
1210 1210_1 -1.37093029665446
1211 1211_0 -1.00709843614295
1211 1211_1 -0.299410792989892
1212 1212_0 -3.24970737524004
1212 1212_1 -2.19836504343563
1213 1213_0 -2.65044152834119
1213 1213_1 -1.79026345366055
1214 1214_0 -3.82736228959086
1214 1214_1 -3.23240722925154
1215 1215_0 -2.69927382859621
1215 1215_1 -1.97456036333886
1216 1216_0 -1.5457175382192
1216 1216_1 -1.73923273103146
1217 1217_0 -2.16439660561097
1217 1217_1 -0.549995538906096
1218 1218_0 -1.98698789166263
1218 1218_1 -2.38962830153639
1219 1219_0 -3.04333596354774
1219 1219_1 -2.70997277560157
122 122_0 -3.19340030495487
122 122_1 -2.57385835230684
1220 1220_0 -1.99153645761758
1220 1220_1 -1.10512332556376
1221 1221_0 -3.61698652271343
1221 1221_1 -4.14247333025428
1222 1222_0 -0.599891975135223
1222 1222_1 -2.23578108657004
1223 1223_0 -1.62255094131171
1223 1223_1 -1.53258610712972
1224 1224_0 -2.398375915089
1224 1224_1 -1.72597338086323
1225 1225_0 0.841048187359803
1225 1225_1 0.578019151898471
1226 1226_0 0.268239319766099
1226 1226_1 0.644257607684122
1227 1227_0 -0.528263634748265
1227 1227_1 -0.897526356789408
1228 1228_0 -1.55014210892324
1228 1228_1 -1.57161376559556
1229 1229_0 -1.25744327411528
1229 1229_1 -1.17414858707348
123 123_0 -2.05153864818548
123 123_1 -1.5063527947557
1230 1230_0 -3.34323662313536
1230 1230_1 -3.2107857224611
1231 1231_0 -3.23211202156278
1231 1231_1 -2.55534159262574
1232 1232_0 -2.17491786564093
1232 1232_1 -1.64859839163158
1233 1233_0 -0.902096708158235
1233 1233_1 -2.19589849873169
1234 1234_0 -1.47908378007847
1234 1234_1 -2.02246408408743
1235 1235_0 -1.56876387659942
1235 1235_1 -2.83911503027932
1236 1236_0 -1.27809508111987
1236 1236_1 -1.36945942916945
1237 1237_0 -2.96415709407714
1237 1237_1 -0.981023900082281
1238 1238_0 -1.35951259340438
1238 1238_1 -1.44859960555945
1239 1239_0 -0.232094811883212
1239 1239_1 0.103378345162979
124 124_0 -1.89536523118874
124 124_1 -1.64424550875822
1240 1240_0 -0.735457474714451
1240 1240_1 -1.49587395592847
1241 1241_0 -0.219869896223799
1241 1241_1 0.958292963983965
1242 1242_0 -1.42943770841209
1242 1242_1 1.26140757848813
1243 1243_0 -1.03030659008287
1243 1243_1 -1.19113862408579
1244 1244_0 -2.20207396454186
1244 1244_1 -0.897410033205691
1245 1245_0 -1.9096640277046
1245 1245_1 -1.99233718436541
1246 1246_0 -0.216852855000853
1246 1246_1 0.0593840425212615
1247 1247_0 -2.46914696472244
1247 1247_1 -2.19083107393132
1248 1248_0 -1.08591257230578
1248 1248_1 -0.289334944347129
1249 1249_0 -1.41056069244005
1249 1249_1 -1.43243963945671
125 125_0 -1.109405169099
125 125_1 -0.345284410181579
1250 1250_0 -0.776792903830211
1250 1250_1 -1.31635576610649
1251 1251_0 -1.03530365305426
1251 1251_1 -1.70257198718879
1252 1252_0 -0.0472384278158289
1252 1252_1 -0.2604228803925
1253 1253_0 -0.866317634148507
1253 1253_1 -0.666961103939571
1254 1254_0 -0.781942455239881
1254 1254_1 -1.14986615578779
1255 1255_0 0.0452820518346474
1255 1255_1 0.910838999780841
1256 1256_0 0.902542122015953
1256 1256_1 -0.429932787657501
1257 1257_0 -1.54475141570991
1257 1257_1 -2.26915951571652
1258 1258_0 -2.82300842886689
1258 1258_1 -1.88590462362586
1259 1259_0 -0.602328409646523
1259 1259_1 -1.66655239686634
126 126_0 -0.349969757580114
126 126_1 0.487018452947136
1260 1260_0 0.293677348963453
1260 1260_1 -0.254774986996678
1261 1261_0 -0.590856761467568
1261 1261_1 -0.702975143832964
1262 1262_0 -2.63120325304754
1262 1262_1 -3.33463686097114
1263 1263_0 -2.85847303742878
1263 1263_1 -0.678204006574519
1264 1264_0 -0.914856075212138
1264 1264_1 -0.132825427545143
1265 1265_0 -1.36139910166188
1265 1265_1 -1.38087382962951
1266 1266_0 -0.656239637943435
1266 1266_1 -0.0607594985709562
1267 1267_0 0.373072744600374
1267 1267_1 0.312225329756596
1268 1268_0 -2.81538484559543
1268 1268_1 -3.33176583911311
1269 1269_0 -1.00788306615438
1269 1269_1 -1.50138706869366
127 127_0 -1.73567415281322
127 127_1 -1.53385392645162
1270 1270_0 -0.584560663854044
1270 1270_1 -0.639685137779768
1271 1271_0 -1.18258047788501
1271 1271_1 -1.33223395616109
1272 1272_0 -1.37591708520743
1272 1272_1 -0.537313803871737
1273 1273_0 0.108011011442621
1273 1273_1 0.285244602522089
1274 1274_0 -1.30428397781501
1274 1274_1 -1.54660411279
1275 1275_0 -2.94425385433385
1275 1275_1 -3.97572484871931
1276 1276_0 0.389441894870957
1276 1276_1 0.178353841161136
1277 1277_0 -1.64897392721095
1277 1277_1 -2.35573688426042
1278 1278_0 -1.96414076939422
1278 1278_1 -1.6436658082016
1279 1279_0 -2.91511175664156
1279 1279_1 -2.04274045784657
128 128_0 -0.966794492964182
128 128_1 -2.04417214524462
1280 1280_0 -1.06558356763081
1280 1280_1 -1.34266945814057
1281 1281_0 -1.45409826632313
1281 1281_1 -1.1068589090347
1282 1282_0 -2.01285896173653
1282 1282_1 -0.669891546489398
1283 1283_0 -1.05137040313532
1283 1283_1 -0.768135169655108
1284 1284_0 -1.2211354339899
1284 1284_1 -2.50500038555369
1285 1285_0 -2.30470703766205
1285 1285_1 -2.71893814443145
1286 1286_0 -1.84839054993724
1286 1286_1 -2.14464897823246
1287 1287_0 -0.47960260263998
1287 1287_1 -0.0492347032012433
1288 1288_0 -2.11580027038348
1288 1288_1 -2.48916068287598
1289 1289_0 -1.26563048840206
1289 1289_1 -1.32544877997109
129 129_0 -0.398174242869997
129 129_1 -1.15990609271496
1290 1290_0 -1.98716634393
1290 1290_1 -0.822066820791003
1291 1291_0 -2.79852709903377
1291 1291_1 -3.51806810388255
1292 1292_0 -1.74127653644001
1292 1292_1 -0.922515775767252
1293 1293_0 -0.978245958958204
1293 1293_1 -0.183888428755796
1294 1294_0 -2.16077412744693
1294 1294_1 -1.60448159250648
1295 1295_0 -0.374265606682354
1295 1295_1 -0.538824956366607
1296 1296_0 -0.91050551316046
1296 1296_1 -1.98029445010377
1297 1297_0 1.50020461402365
1297 1297_1 1.29706699296336
1298 1298_0 -0.569574574131331
1298 1298_1 -1.00753012158085
1299 1299_0 -0.83496504413268
1299 1299_1 -1.94196903502336
13 13_0 -0.904986537232522
13 13_1 -0.568037795306776
130 130_0 -1.5189867202588
130 130_1 -0.510183032824047
1300 1300_0 -0.196841432811344
1300 1300_1 -1.32627546806321
1301 1301_0 -1.09559307301419
1301 1301_1 -0.960560860319217
1302 1302_0 1.11348010647631
1302 1302_1 1.40030953862882
1303 1303_0 -0.945317113526953
1303 1303_1 -0.908320662275289
1304 1304_0 -1.25176670001563
1304 1304_1 -0.648947339709332
1305 1305_0 -0.540059091467769
1305 1305_1 -2.05553998635598
1306 1306_0 -0.947872038920379
1306 1306_1 -0.972803887717408
1307 1307_0 -3.08053835277991
1307 1307_1 -2.33655212439804
1308 1308_0 0.186639470007918
1308 1308_1 -1.41782183863666
1309 1309_0 -1.59901235118814
1309 1309_1 -1.57889274781658
131 131_0 -2.37485499728278
131 131_1 -2.90131669198946
1310 1310_0 -1.50312024555181
1310 1310_1 -1.46386766968177
1311 1311_0 -1.92309187083954
1311 1311_1 -2.11697540125675
1312 1312_0 -0.489956637216122
1312 1312_1 -1.31344011655327
1313 1313_0 0.0503546221332123
1313 1313_1 -0.0758676941665366
1314 1314_0 -1.57344105135702
1314 1314_1 -1.51048834084546
1315 1315_0 -1.20862813970536
1315 1315_1 -1.39918175623833
1316 1316_0 -2.15279100903954
1316 1316_1 -2.20231497098001
1317 1317_0 -2.01115347934386
1317 1317_1 -3.34642655575016
1318 1318_0 -0.638371736194813
1318 1318_1 -0.852082826211606
1319 1319_0 -2.28121849447221
1319 1319_1 -1.51426105576584
132 132_0 -1.00930053423639
132 132_1 -0.669611453769402
1320 1320_0 -0.645644077906809
1320 1320_1 -0.290570764173884
1321 1321_0 -2.23025921172443
1321 1321_1 -2.30497754234958
1322 1322_0 -0.480826441377717
1322 1322_1 -0.599739383106075
1323 1323_0 -1.04044974311025
1323 1323_1 -1.37138864039086
1324 1324_0 -1.10614293349695
1324 1324_1 -1.31451217234278
1325 1325_0 0.556148613118215
1325 1325_1 -0.676226666262531
1326 1326_0 -1.18274962145636
1326 1326_1 -0.524378495593383
1327 1327_0 1.39939126387646
1327 1327_1 0.498292441238534
1328 1328_0 -1.22677707054286
1328 1328_1 -1.33387198251779
1329 1329_0 -0.194032129579715
1329 1329_1 -0.899141815924965
133 133_0 -0.393100283624292
133 133_1 -1.35377853445423
1330 1330_0 -1.96460682929316
1330 1330_1 -1.16638485480651
1331 1331_0 -1.14831282691264
1331 1331_1 -1.65328753181908
1332 1332_0 -0.718272527587375
1332 1332_1 -0.979698072121144
1333 1333_0 -2.18087655768984
1333 1333_1 -0.855917818592446
1334 1334_0 -2.01151158842718
1334 1334_1 -1.75734010924756
1335 1335_0 -1.09846093399502
1335 1335_1 -2.37661420858749
1336 1336_0 -0.657458221897978
1336 1336_1 -0.253259855066919
1337 1337_0 -0.13433672270448
1337 1337_1 -0.250454637934821
1338 1338_0 -2.18086483764076
1338 1338_1 -2.15348870261923
1339 1339_0 -1.49717296733261
1339 1339_1 -0.175463993977218
134 134_0 -1.75915668891632
134 134_1 -1.58633238008546
1340 1340_0 -1.33082667753366
1340 1340_1 -1.27721569110576
1341 1341_0 -0.0371767180662342
1341 1341_1 1.45199833075256
1342 1342_0 -0.435436079487693
1342 1342_1 -1.28788807129497
1343 1343_0 -2.71738996989961
1343 1343_1 -3.48371108633423
1344 1344_0 -1.00004474955389
1344 1344_1 -1.89093120952091
1345 1345_0 -1.54211633370428
1345 1345_1 -1.91550407519331
1346 1346_0 -1.03621053929671
1346 1346_1 0.30059606134294
1347 1347_0 -0.653852162800685
1347 1347_1 -0.341166138478529
1348 1348_0 -1.96936078111128
1348 1348_1 -1.03352384807867
1349 1349_0 -2.40565531012213
1349 1349_1 -2.19046784392008
135 135_0 -3.35191763371462
135 135_1 -3.07806624535724
1350 1350_0 -1.01912119829982
1350 1350_1 -0.730667666553544
1351 1351_0 -0.520921624794962
1351 1351_1 -0.229520477005712
1352 1352_0 -0.910473167359208
1352 1352_1 -0.0727278197901056
1353 1353_0 -2.40303734370018
1353 1353_1 -2.59436018295868
1354 1354_0 -1.40707291809349
1354 1354_1 -0.331270071636776
1355 1355_0 -1.04235081964475
1355 1355_1 -0.846720403332953
1356 1356_0 -0.999759666196792
1356 1356_1 0.532187948543228
1357 1357_0 -1.42061625584521
1357 1357_1 -2.20975195944363
1358 1358_0 -1.50735865115093
1358 1358_1 -2.08198910560269
1359 1359_0 -1.32348980968183
1359 1359_1 -1.35295141721187
136 136_0 -1.19246449682814
136 136_1 -2.45454613586046
1360 1360_0 -0.550362687877406
1360 1360_1 -1.3365511884533
1361 1361_0 -0.523720015077541
1361 1361_1 -0.0209340942757498
1362 1362_0 -1.91640899595766
1362 1362_1 -2.31627239929812
1363 1363_0 -1.8119941474945
1363 1363_1 -2.16553516276781
1364 1364_0 -0.457288842580107
1364 1364_1 -0.284756490302644
1365 1365_0 -1.04125702609496
1365 1365_1 -0.936693130803273
1366 1366_0 -0.195565211385104
1366 1366_1 -0.26616554617225
1367 1367_0 -0.285938835616227
1367 1367_1 -0.663870090611311
1368 1368_0 -1.5623038182569
1368 1368_1 -1.02427727669216
1369 1369_0 -1.82681431188232
1369 1369_1 -2.73313773049162
137 137_0 -2.7040043428959
137 137_1 -2.17895777352082
1370 1370_0 -1.98929183182466
1370 1370_1 -1.58975099242379
1371 1371_0 -1.43612770266647
1371 1371_1 -0.54167244269418
1372 1372_0 -0.790137186331228
1372 1372_1 -0.311742630054334
1373 1373_0 -1.15068521405335
1373 1373_1 -0.824525861781577
1374 1374_0 -0.591967358086134
